placeId,placeName
ChIJ-xcUUiUFdkgRzdC8WHo_HNA,The Urban Greek
ChIJCU-e1qwFdkgRubgjJOgJAzA,The Yard Clapham
ChIJVVWgwpcFdkgRBlmwGlNETVo,Three Little Birds
ChIJhUIMJ0sEdkgR-95chMd-lss,Tokyo Retro
ChIJYy_6qAQFdkgRpfV6fOqblek,Tonkotsu Battersea
ChIJwc6R65kFdkgRPRljqtkwh90,Tortilla Clapham
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity
ChIJlcLPUukFdkgRDpTFJXxzQrY,Tropix
ChIJsdJAU1AEdkgRlBEM_EzxetI,Tsunami
ChIJJ1FreaMFdkgRdsV95JmnXao,Tumnan Thai
ChIJ69q0AlIEdkgR_Wzl956w0ws,Two Brewers
ChIJcyl2p5cFdkgRB1au2_YKIGk,Vagabond Northcote
ChIJISgwSmUFdkgR4q_G5K9Zs70,Vegan Dough Co
ChIJ5w6wgVIEdkgRiRkNkm9cL0Q,Venn Street Market
ChIJy8eivVIEdkgREjk7nBxCDcA,Venn Street Records
ChIJM4FqcE0EdkgR3QvqdMOj3Mk,WC Wine & Charcuterie
ChIJyznCQvEFdkgR4y9RRdsc7Go,Yano Sushi
ChIJfSv8i08FdkgRZ2zcqaZpmUs,YORI (Clapham Junction)
ChIJC-WxO60FdkgRy-fqIDRCsMM,Zumbura
